time,open,high,low,close,volume
2013-01-02,46.742719219727555,47.10923767089844,46.25340928660182,47.10923767089844,12278000
2013-01-03,47.12677687323008,47.588387729605,46.91351006553171,47.17662811279297,9452000
2013-01-04,47.190482328145315,47.28742019138819,46.80734444831996,47.17478561401367,11475000
2013-01-07,47.34290430538079,48.15581760014006,47.26530846881177,47.9923095703125,11398000
2013-01-08,48.03849953375715,48.132724564667846,47.5683046835591,47.8343505859375,6983000
2013-01-09,48.51609047090422,49.180274963378906,48.28237615437152,49.180274963378906,11461000
2013-01-10,49.1876689530792,49.1876689530792,48.432029180196885,48.74241256713867,12564000
2013-01-11,48.72948162107107,48.94010043691384,48.54565134507399,48.837562561035156,6424000
2013-01-14,48.91792362552279,48.95764480038085,48.149351311714945,48.35997009277344,9911000
2013-01-15,48.24265344077512,48.34981111496682,47.961828376758405,48.29438400268555,5858000
2013-01-16,47.70594641526095,48.27128954080211,47.57661649323487,48.1548957824707,6190000
2013-01-17,48.46713643375186,48.6518899824401,48.155829752369094,48.34519958496094,5250000
2013-01-18,47.99507812683574,48.17428854804703,47.42788503719233,48.12809753417969,10769000
2013-01-22,48.47822074083227,48.47822074083227,47.539677400293776,48.01356887817383,7462000
2013-01-23,47.99971837139243,48.2629910720203,47.58495048702064,47.81034851074219,4991000
2013-01-24,47.84451468603286,48.56227980637994,47.82603898065311,48.2445068359375,5869000
2013-01-25,48.2943770565973,48.2943770565973,47.78076453785558,47.982147216796875,7157000
2013-01-28,48.12255582055885,48.12255582055885,47.431579443245624,47.49254608154297,8002000
2013-01-29,47.492562764258615,48.10502027489136,47.48609644320356,47.89532470703125,8833000
2013-01-30,47.72535291701126,48.18353844626125,47.47223962017171,47.666229248046875,11601000
2013-01-31,49.144255497707036,49.453715654901075,47.38910213126436,47.887935638427734,20412000
2013-02-01,48.11055424557371,48.270365728264935,47.45283261187505,47.916561126708984,9949000
2013-02-04,47.69302039112726,47.850981860539875,47.3050376189906,47.501800537109375,6152000
